row,cluster
JARID2,cluster2
IFITM2,cluster2
HIST1H2BD,cluster2
UGT2B11,cluster2
CDK15,cluster2
BAHCC1,cluster2
PPP1R18,cluster2
TNIP1,cluster2
TATDN2,cluster2
HRH4,cluster2
AXIN1,cluster2
GATS,cluster2
REPS2,cluster2
LTB4R,cluster2
C16orf74,cluster2
MFSD6L,cluster2
CACNG8,cluster2
RHOF,cluster2
RNASE6,cluster2
SLC45A3,cluster2
CCR4,cluster2
CXCR4,cluster2
TMEM176A,cluster2
KLRB1,cluster2
HIST1H4H,cluster2
STAT4,cluster2
APAF1,cluster2
SLC25A37,cluster2
TET3,cluster2
ST20,cluster2
SLC9A9,cluster2
HS3ST3B1,cluster2
CYBRD1,cluster2
FCHSD2,cluster2
ADM,cluster2
RAPGEF6,cluster2
ITPRIPL1,cluster2
MED13L,cluster2
UBAC2,cluster2
RYBP,cluster2
ID2,cluster2
ATP1A3,cluster2
