geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000167315,4,protein_coding,ACAA2,04,yellow
ENSG00000167325,2,protein_coding,RRM1,02,blue
ENSG00000167371,3,protein_coding,PRRT2,03,brown
ENSG00000167397,4,protein_coding,VKORC1,04,yellow
ENSG00000167460,11,protein_coding,TPM4,11,greenyellow
ENSG00000167491,2,protein_coding,GATAD2A,02,blue
ENSG00000167513,6,protein_coding,CDT1,06,red
ENSG00000167525,5,protein_coding,PROCA1,05,green
ENSG00000167553,8,protein_coding,TUBA1C,08,pink
ENSG00000167555,0,protein_coding,ZNF528,00,grey
ENSG00000167588,4,protein_coding,GPD1,04,yellow
ENSG00000167600,7,protein_coding,CYP2S1,07,black
ENSG00000167617,8,protein_coding,CDC42EP5,08,pink
ENSG00000167645,7,protein_coding,YIF1B,07,black
ENSG00000167658,6,protein_coding,EEF2,06,red
ENSG00000167711,7,protein_coding,SERPINF2,07,black
ENSG00000167716,6,protein_coding,WDR81,06,red
ENSG00000167740,1,protein_coding,CYB5D2,01,turquoise
ENSG00000167775,2,protein_coding,CD320,02,blue
ENSG00000167797,9,protein_coding,CDK2AP2,09,magenta
ENSG00000167799,8,protein_coding,NUDT8,08,pink
ENSG00000167842,5,protein_coding,MIS12,05,green
ENSG00000167861,7,protein_coding,HID1,07,black
ENSG00000167895,6,protein_coding,TMC8,06,red
ENSG00000167900,9,protein_coding,TK1,09,magenta
ENSG00000167977,4,protein_coding,KCTD5,04,yellow
ENSG00000167984,1,protein_coding,NLRC3,01,turquoise
ENSG00000167995,0,protein_coding,BEST1,00,grey
ENSG00000168032,2,protein_coding,ENTPD3,02,blue
ENSG00000168056,1,protein_coding,LTBP3,01,turquoise
ENSG00000168061,6,protein_coding,SAC3D1,06,red
ENSG00000168067,7,protein_coding,MAP4K2,07,black
ENSG00000168078,9,protein_coding,PBK,09,magenta
ENSG00000168158,5,protein_coding,OR2C1,05,green
ENSG00000168209,1,protein_coding,DDIT4,01,turquoise
ENSG00000168214,5,protein_coding,RBPJ,05,green
ENSG00000168229,0,protein_coding,PTGDR,00,grey
ENSG00000168264,3,protein_coding,IRF2BP2,03,brown
ENSG00000168268,10,protein_coding,NT5DC2,10,purple
ENSG00000168282,7,protein_coding,MGAT2,07,black
ENSG00000168309,1,protein_coding,FAM107A,01,turquoise
ENSG00000168389,8,protein_coding,MFSD2A,08,pink
ENSG00000168393,11,protein_coding,DTYMK,11,greenyellow
ENSG00000168404,11,protein_coding,MLKL,11,greenyellow
ENSG00000168439,9,protein_coding,STIP1,09,magenta
ENSG00000168476,6,protein_coding,REEP4,06,red
ENSG00000168490,3,protein_coding,PHYHIP,03,brown
ENSG00000168496,7,protein_coding,FEN1,07,black
ENSG00000168528,7,protein_coding,SERINC2,07,black
ENSG00000168556,5,protein_coding,ING2,05,green
ENSG00000168594,0,protein_coding,ADAM29,00,grey
ENSG00000168615,2,protein_coding,ADAM9,02,blue
ENSG00000168675,0,protein_coding,LDLRAD4,00,grey
ENSG00000168734,1,protein_coding,PKIG,01,turquoise
ENSG00000168806,0,protein_coding,LCMT2,00,grey
ENSG00000168874,3,protein_coding,ATOH8,03,brown
ENSG00000168916,1,protein_coding,ZNF608,01,turquoise
ENSG00000168924,2,protein_coding,LETM1,02,blue
ENSG00000169031,0,protein_coding,COL4A3,00,grey
ENSG00000169035,9,protein_coding,KLK7,09,magenta
ENSG00000169057,3,protein_coding,MECP2,03,brown
ENSG00000169062,0,protein_coding,UPF3A,00,grey
ENSG00000169064,5,protein_coding,ZBBX,05,green
ENSG00000169067,3,protein_coding,ACTBL2,03,brown
ENSG00000169100,10,protein_coding,SLC25A6,10,purple
ENSG00000169105,3,protein_coding,CHST14,03,brown
ENSG00000169116,2,protein_coding,PARM1,02,blue
ENSG00000169122,0,protein_coding,FAM110B,00,grey
ENSG00000169129,3,protein_coding,AFAP1L2,03,brown
ENSG00000169188,11,protein_coding,APEX2,11,greenyellow
ENSG00000169208,0,protein_coding,OR10G3,00,grey
ENSG00000169230,11,protein_coding,PRELID1,11,greenyellow
ENSG00000169299,10,protein_coding,PGM2,10,purple
ENSG00000169372,0,protein_coding,CRADD,00,grey
ENSG00000169385,10,protein_coding,RNASE2,10,purple
ENSG00000169403,4,protein_coding,PTAFR,04,yellow
ENSG00000169413,6,protein_coding,RNASE6,06,red
ENSG00000169429,1,protein_coding,CXCL8,01,turquoise
ENSG00000169469,9,protein_coding,SPRR1B,09,magenta
ENSG00000169474,10,protein_coding,SPRR1A,10,purple
ENSG00000169508,4,protein_coding,GPR183,04,yellow
ENSG00000169562,7,protein_coding,GJB1,07,black
ENSG00000169598,3,protein_coding,DFFB,03,brown
ENSG00000169607,0,protein_coding,CKAP2L,00,grey
ENSG00000169718,7,protein_coding,DUS1L,07,black
ENSG00000169760,0,protein_coding,NLGN1,00,grey
ENSG00000169764,10,protein_coding,UGP2,10,purple
ENSG00000169871,3,protein_coding,TRIM56,03,brown
ENSG00000169884,0,protein_coding,WNT10B,00,grey
ENSG00000169896,11,protein_coding,ITGAM,11,greenyellow
ENSG00000170144,1,protein_coding,HNRNPA3,01,turquoise
ENSG00000170271,1,protein_coding,FAXDC2,01,turquoise
ENSG00000170298,6,protein_coding,LGALS9B,06,red
ENSG00000170312,9,protein_coding,CDK1,09,magenta
ENSG00000170324,3,protein_coding,FRMPD2,03,brown
ENSG00000170345,3,protein_coding,FOS,03,brown
ENSG00000170369,8,protein_coding,CST2,08,pink
ENSG00000170373,8,protein_coding,CST1,08,pink
ENSG00000170485,1,protein_coding,NPAS2,01,turquoise
ENSG00000170571,5,protein_coding,EMB,05,green
ENSG00000170606,2,protein_coding,HSPA4,02,blue
ENSG00000170836,0,protein_coding,PPM1D,00,grey
ENSG00000170949,3,protein_coding,ZNF160,03,brown
ENSG00000170954,5,protein_coding,ZNF415,05,green
ENSG00000170959,1,protein_coding,DCDC1,01,turquoise
ENSG00000171051,4,protein_coding,FPR1,04,yellow
ENSG00000171097,8,protein_coding,CCBL1,08,pink
ENSG00000171105,1,protein_coding,INSR,01,turquoise
ENSG00000171124,8,protein_coding,FUT3,08,pink
ENSG00000171159,7,protein_coding,C9orf16,07,black
ENSG00000171208,2,protein_coding,NETO2,02,blue
ENSG00000171217,0,protein_coding,CLDN20,00,grey
ENSG00000171223,3,protein_coding,JUNB,03,brown
ENSG00000171227,0,protein_coding,TMEM37,00,grey
ENSG00000171241,11,protein_coding,SHCBP1,11,greenyellow
ENSG00000171303,0,protein_coding,KCNK3,00,grey
ENSG00000171314,2,protein_coding,PGAM1,02,blue
ENSG00000171320,9,protein_coding,ESCO2,09,magenta
ENSG00000171401,9,protein_coding,KRT13,09,magenta
ENSG00000171492,8,protein_coding,LRRC8D,08,pink
ENSG00000171617,0,protein_coding,ENC1,00,grey
ENSG00000171631,10,protein_coding,P2RY6,10,purple
ENSG00000171657,11,protein_coding,GPR82,11,greenyellow
